CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,Unnamed: 0
1,0,25,Self Enquiry,1,10,Salaried,Male,2,2,Basic,3,Single,1,0,3,1,0,Executive,20000,1
2,1,30,Company Invited,2,15,Small Business,Female,3,3,Deluxe,4,Married,2,1,4,0,1,Manager,30000,2
3,0,35,Self Enquiry,1,12,Salaried,Male,2,2,Basic,3,Single,1,0,3,1,0,Executive,25000,3
4,1,40,Company Invited,3,18,Large Business,Female,4,4,Super Deluxe,5,Divorced,3,1,5,0,2,AVP,40000,4
5,0,45,Self Enquiry,2,11,Free Lancer,Male,3,3,Basic,4,Married,2,0,4,1,1,VP,35000,5
6,1,50,Company Invited,1,16,Salaried,Female,2,2,Deluxe,3,Single,1,1,3,0,0,Executive,22000,6
7,0,28,Self Enquiry,3,13,Small Business,Male,4,4,Basic,5,Divorced,3,0,5,1,2,Manager,42000,7
8,1,33,Company Invited,2,19,Salaried,Female,3,3,Super Deluxe,4,Married,2,1,4,0,1,Executive,32000,8
9,0,38,Self Enquiry,1,14,Large Business,Male,2,2,Basic,3,Single,1,0,3,1,0,AVP,28000,9
10,1,42,Company Invited,3,20,Free Lancer,Female,4,4,Deluxe,5,Divorced,3,1,5,0,2,VP,45000,10
